"Part";"Value";"Device";"Package";"Description";"COMPANY-URL";"CREATED-BY";"CREATED-DATE";"DATASHEET-URL";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";"WE-NUMBER";
"BAT1";"79523141";"WA-BCMC_SMT_79523141";"79523141";"Battery Holder WA-BCMC";"";"";"";"";"";"";"";"";"";"";"";
"BAT2";"79523141";"WA-BCMC_SMT_79523141";"79523141";"Battery Holder WA-BCMC";"";"";"";"";"";"";"";"";"";"";"";
"C1";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C2";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C3";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C4";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C5";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C6";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C7";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C8";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C9";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C10";"";"WCAP-ASLI_5X5.5(DXL)";"3X1.6X1.4(BXCXA)";"WCAP-ASLI Aluminum Electrolytic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C11";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C12";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"C13";"";"WCAP-CSGP_0805-REFLOW";"WCAP-CSGP_0805_REFLOW";"WCAP-CSGP Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";
"D1";"150120GS75000";"WL-SMCW-150120GS75000-G";"1206";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";
"D2";"150120GS75000";"WL-SMCW-150120GS75000-G";"1206";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";
"D3";"150120GS75000";"WL-SMCW-150120GS75000-G";"1206";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";
"D4";"150120GS75000";"WL-SMCW-150120GS75000-G";"1206";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";
"D5";"150120GS75000";"WL-SMCW-150120GS75000-G";"1206";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";
"D6";"150120GS75000";"WL-SMCW-150120GS75000-G";"1206";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";
"D7";"150120GS75000";"WL-SMCW-150120GS75000-G";"1206";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";
"D8";"150120GS75000";"WL-SMCW-150120GS75000-G";"1206";"SMD mono-color Chip LED";"http://www.we-online.de";"Christin Otto";"APR 2013";"http://katalog.we-online.de/en/led/WL-SMCW?m=t&sq=smcw&sp=&sp=http%3A%2F%2Fwww.we-online.de%2Fweb%2Fen%2Felectronic_components%2Fsearchpage_PBS.php%3Fsearch%3Dsmcw#vs_t2:2";"Würth Elektronik eiSos GmbH";"";"";"";"";"";"";
"IC1";"AD8644R";"AD8644R";"SO14";"Single and Quad 18 V Operational Amplifiers";"";"";"";"";"";"ALTERA CORPORATION";"AD8644ARZ";"1438873";"59K7037";"";"";
"IC4";"AD8644R";"AD8644R";"SO14";"Single and Quad 18 V Operational Amplifiers";"";"";"";"";"";"ALTERA CORPORATION";"AD8644ARZ";"1438873";"59K7037";"";"";
"L1";"";"WE-KI_0805A";"WE-KI_0805A";"SMD Wire Wound Ceramic Inductor";"";"";"";"";"";"";"";"";"";"";"";
"L2";"";"WE-CBF_0805_74279209_WB_HS";"WE-CBF_0805(W=3.0)";"WE-CBF SMD EMI Suppression Ferrite Bead";"";"";"";"";"";"";"";"";"";"";"74279209/1200Ω(Z@100MHz)";
"R1";"3M3";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R2";"TBD";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R3";"TBD";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R4";"TBD";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R5";"TBD";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R6";"TBD";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R7";"TBD";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R8";"TBD";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R9";"47k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R10";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R11";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R12";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R13";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R14";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R15";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R16";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R17";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R18";"";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R19";"100k";"POTENTIOMETER_PT_SPIN";"PT-SPIN";"Potentiometer";"";"";"";"";"";"";"";"";"";"";"";
"R20";"";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R21";"";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R22";"";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"R23";"";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"SHC1";"36103205S";"WE-SHC_36103205S";"WE-SHC_36103205S";"Shielding Cabinet";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"450404015514";"450404015514";"450404015514";"WS-SLSU";"";"";"";"";"";"";"";"";"";"";"";
"SW2";"450404015514";"450404015514";"450404015514";"WS-SLSU";"";"";"";"";"";"";"";"";"";"";"";
"TP1";"TPB2,54";"TPB2,54";"B2,54";"Test pad";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"TPB2,54";"TPB2,54";"B2,54";"Test pad";"";"";"";"";"";"";"";"";"";"";"";
"TP3";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ADL5910";"ADL5910";"LFCSP-16";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"LM2936M-3.3";"LM2936M-3.3";"SO08";"Ultra-Low Quiescent Current LDO Voltage Regulator";"";"";"";"";"";"NATIONAL SEMICONDUCTOR";"LM2936M-3.3/NOPB";"1469059";"41K4514";"";"";
"U3";"LM2936M-5.0";"LM2936M-5.0";"SO08";"Ultra-Low Quiescent Current LDO Voltage Regulator";"";"";"";"";"";"NATIONAL SEMICONDUCTOR";"LM2936M-5.0/NOPB";"9494421";"41K4515";"";"";
"X1";"BU-SMA-V";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
